0,dividend
2021-08-24,1.3
2021-08-23,1.302
2021-08-20,1.313
2021-08-19,1.324
2021-08-18,1.326
2021-08-17,1.311
2021-08-16,1.302
2021-08-13,1.306
2021-08-12,1.308
2021-08-11,1.311
2021-08-10,1.315
2021-08-09,1.316
2021-08-06,1.315
2021-08-05,1.317
2021-08-04,1.325
2021-08-03,1.319
2021-08-02,1.33
2021-07-30,1.317
2021-07-29,1.31
2021-07-28,1.315
2021-07-27,1.315
2021-07-26,1.309
2021-07-23,1.312
2021-07-22,1.325
2021-07-21,1.328
2021-07-20,1.339
2021-07-19,1.359
2021-07-16,1.337
2021-07-15,1.327
2021-07-14,1.323
2021-07-13,1.324
2021-07-12,1.32
2021-07-09,1.324
2021-07-08,1.339
2021-07-07,1.328
2021-07-06,1.332
2021-07-02,1.33
2021-07-01,1.34
2021-06-30,1.347
2021-06-29,1.347
2021-06-28,1.347
2021-06-25,1.35
2021-06-24,1.355
2021-06-23,1.362
2021-06-22,1.361
2021-06-21,1.368
2021-06-18,1.387
2021-06-17,1.369
2021-06-16,1.368
2021-06-15,1.361
2021-06-14,1.358
2021-06-11,1.361
2021-06-10,1.363
2021-06-09,1.37
2021-06-08,1.367
2021-06-07,1.367
2021-06-04,1.366
2021-06-03,1.378
2021-06-02,1.373
2021-06-01,1.375
2021-05-28,1.373
2021-05-27,1.374
2021-05-26,1.375
2021-05-25,1.378
2021-05-24,1.375
2021-05-21,1.389
2021-05-20,1.388
2021-05-19,1.402
2021-05-18,1.398
2021-05-17,1.386
2021-05-14,1.383
2021-05-13,1.403
2021-05-12,1.42
2021-05-11,1.39
2021-05-10,1.378
2021-05-07,1.363
2021-05-06,1.374
2021-05-05,1.385
2021-05-04,1.386
2021-05-03,1.376
2021-04-30,1.38
2021-04-29,1.368
2021-04-28,1.378
2021-04-27,1.376
2021-04-26,1.376
2021-04-23,1.379
2021-04-22,1.394
2021-04-21,1.381
2021-04-20,1.394
2021-04-19,1.384
2021-04-16,1.377
2021-04-15,1.382
2021-04-14,1.397
2021-04-13,1.391
2021-04-12,1.396
2021-04-09,1.396
2021-04-08,1.407
2021-04-07,1.413
2021-04-06,1.415
2021-04-05,1.413
2021-04-01,1.434
2021-03-31,1.451
2021-03-30,1.461
2021-03-29,1.457
2021-03-26,1.456
2021-03-25,1.48
2021-03-24,1.487
2021-03-23,1.479
2021-03-22,1.468
2021-03-19,1.478
2021-03-18,1.477
2021-03-17,1.456
2021-03-16,1.46
2021-03-15,1.458
2021-03-12,1.467
2021-03-11,1.469
2021-03-10,1.484
2021-03-09,1.493
2021-03-08,1.514
2021-03-05,1.506
2021-03-04,1.535
2021-03-03,1.515
2021-03-02,1.495
2021-03-01,1.483
2021-02-26,1.523
2021-02-25,1.516
2021-02-24,1.479
2021-02-23,1.496
2021-02-22,1.498
2021-02-19,1.486
2021-02-18,1.483
2021-02-17,1.477
2021-02-16,1.476
2021-02-12,1.476
2021-02-11,1.482
2021-02-10,1.485
2021-02-09,1.484
2021-02-08,1.483
2021-02-05,1.494
2021-02-04,1.5
2021-02-03,1.516
2021-02-02,1.517
2021-02-01,1.538
2021-01-29,1.569
2021-01-28,1.539
2021-01-27,1.554
2021-01-26,1.514
2021-01-25,1.512
2021-01-22,1.517
2021-01-21,1.513
2021-01-20,1.513
2021-01-19,1.534
2021-01-15,1.547
2021-01-14,1.535
2021-01-13,1.53
2021-01-12,1.533
2021-01-11,1.534
2021-01-08,1.524
2021-01-07,1.532
2021-01-06,1.555
2021-01-05,1.564
2021-01-04,1.575
2020-12-31,1.552
2020-12-30,1.567
2020-12-29,1.569
2020-12-28,1.565
2020-12-24,1.579
2020-12-23,1.585
2020-12-22,1.586
2020-12-21,1.582
2020-12-18,1.576
2020-12-17,1.571
2020-12-16,1.58
2020-12-15,1.583
2020-12-14,1.603
2020-12-11,1.596
2020-12-10,1.594
2020-12-09,1.592
2020-12-08,1.579
2020-12-07,1.584
2020-12-04,1.581
2020-12-03,1.595
2020-12-02,1.594
2020-12-01,1.596
2020-11-30,1.614
2020-11-27,1.612
2020-11-25,1.616
2020-11-24,1.614
2020-11-23,1.64
2020-11-20,1.649
2020-11-19,1.638
2020-11-18,1.644
2020-11-17,1.625
2020-11-16,1.617
2020-11-13,1.636
2020-11-12,1.658
2020-11-11,1.642
2020-11-10,1.654
2020-11-09,1.652
2020-11-06,1.671
2020-11-05,1.671
2020-11-04,1.704
2020-11-03,1.741
2020-11-02,1.772
2020-10-30,1.8
2020-10-29,1.778
2020-10-28,1.799
2020-10-27,1.736
2020-10-26,1.73
2020-10-23,1.698
2020-10-22,1.704
2020-10-21,1.713
2020-10-20,1.709
2020-10-19,1.717
2020-10-16,1.689
2020-10-15,1.689
2020-10-14,1.687
2020-10-13,1.676
2020-10-12,1.665
2020-10-09,1.692
2020-10-08,1.707
2020-10-07,1.721
2020-10-06,1.751
2020-10-05,1.727
2020-10-02,1.758
2020-10-01,1.741
2020-09-30,1.75
2020-09-29,1.773
2020-09-28,1.764
2020-09-25,1.793
2020-09-24,1.821
2020-09-23,1.827
2020-09-22,1.783
2020-09-21,1.802
2020-09-18,1.781
2020-09-17,1.761
2020-09-16,1.747
2020-09-15,1.739
2020-09-14,1.748
2020-09-11,1.77
2020-09-10,1.771
2020-09-09,1.74
2020-09-08,1.775
2020-09-04,1.725
2020-09-03,1.711
2020-09-02,1.651
2020-09-01,1.677
2020-08-31,1.689
2020-08-28,1.693
